device_id,f_wifi_number_samples_wifi_af_wkdy_sem_2017-01-18,f_wifi_number_unique_wifi_hotspots_af_wkdy_sem_2017-01-18,f_wifi_most_frequent_wifi_af_wkdy_sem_2017-01-18
0d25f3b7-d43e-4ccf-a8ed-e1feb0aa40aa,1449,231,
0d8b3688-0cba-4323-85fe-00f15785de38,2112,172,
1391f4f7-4e70-4d67-92f1-db819e07c0c9,323058,10684,00:24:6c:d0:a3:62
15d016f2-a52e-4f2d-85ac-f32c2c4526db,2170,211,9c:1c:12:e0:c1:31
165de20b-6080-4f1d-9354-ec66de50263c,1429,280,
174bcad9-6cf8-4f97-bcc5-38a6f4c42c1d,2082,298,
17c8318d-0d75-41a8-bfef-eb8c043db1fb,1417,230,
182bbb8f-cd30-4958-9342-ce0c91659810,6604,1116,00:1a:1e:8a:27:d0
1973b69d-5fe7-4ff7-94bb-17d5d875499f,1746,270,9c:1c:12:e0:e1:d1
1a4011ac-0990-4560-8e1a-f9f07b54b7ec,1291,194,
1be1f081-12eb-4151-bee7-04f39b0ada17,601174,24999,40:e3:d6:bf:cf:20
1bf4883c-0056-4d72-bd4a-de1f3aec0387,103,15,
1c67b4f0-964c-4aef-83a1-89a0248f80b3,1787,194,
1e3ed4f9-8c22-4b96-8a5c-c324582b9860,664,133,
1e6cee1a-1bce-45b5-9cef-eab3084a5187,2111,293,
1e6e0199-be64-4525-9b86-ae0038022368,1967,136,00:1a:1e:8a:eb:d1
209854a0-471d-42fa-856f-54b5d1948481,139316,3127,70:3a:0e:18:8b:43
24f7d497-1c92-4372-976d-81dd15d7b1fb,823,144,
2cafda94-dca2-4401-ae3c-aa1bdf3ce6ca,1310628,19774,40:e3:d6:da:1a:02
2dd9d631-d2d5-4afa-9d1f-0a3eac129ec0,426096,9575,ac:a3:1e:f3:04:f1
2ef2702c-0c30-40d8-91c0-35ad8829465b,469370,13204,00:1a:1e:88:3d:81
2fb7fbc1-068f-4a54-a8ee-a41c99d0f7da,2166,253,40:e3:d6:bf:cf:33
318f91af-9b11-42f5-bdcd-7c9e35761da5,2092,224,24:de:c6:f1:20:71
31c395a9-0128-46df-a90c-73160f0854b4,2189,239,
3258d5c4-4f3f-4722-966a-1bd619c9229f,215278,7107,ac:a3:1e:f2:fa:a1
32d4b802-7471-49bd-ad59-e663b0d98682,1624,218,
34944ff7-1853-4fec-8d7d-73fc52bfa824,11658,1075,9c:1c:12:c7:9f:03
3698dbcf-6b9e-4b00-a15a-f2cb26e6639d,2114,307,
38861b6b-d04b-4f1f-8c17-c3c0a9f0a221,2252,259,00:1a:1e:8d:69:21
38edf5e3-bd76-4ec3-b1fc-c134915743c7,1756,210,84:d4:7e:ff:94:93
395bf3f4-ec02-494f-8f45-30ab62eda8e7,2182,260,84:d4:7e:ff:94:93
3b9d6c27-13cc-47d9-b00e-af2e0d3d0009,1612,232,
3bf51a01-8625-4c9b-a16c-24d10ccf8ae5,1027,210,
3dcb435d-656f-405f-81a1-49f7eae6c25e,102366,5070,70:3a:0e:18:8b:53
3fa86602-fc33-4c6f-9b3e-2cebd95104ee,2212,361,ac:a3:1e:fc:cb:11
3ff2b7eb-622c-4ae9-9d89-7d2af5430d34,2251,321,
417abe6d-ef78-4f01-b632-844af6cb8fe7,1407,164,70:3a:0e:18:88:d3
447a64e5-f754-4082-b0fa-0000f34eeda8,1931,194,70:3a:0e:18:88:d3
44ff689e-4138-43cc-8f6d-2d8323125ee1,383192,12967,ac:a3:1e:f2:d3:72
4522b36a-6215-4768-b42a-55e79677d4ec,281370,12553,24:de:c6:f1:10:92
49b6c762-deaf-4cbf-8cb6-557ca65d395c,211190,15520,00:1a:1e:8d:67:c3
4ba3ace5-f982-49c5-883a-0329d059d431,2045,309,
4d4c47ec-5a3c-4c9c-b32b-83da30500857,165800,5246,ac:a3:1e:d2:57:00
4de0beb1-cfa8-4410-809d-d05322b1a0c8,2172,250,
4e20289a-32ca-47be-a2c5-f0bd66ab9176,1213,240,
5542666d-5bf4-4a1b-b17c-e3580c4cd773,2254,240,
5792d203-ec62-4b40-b0a2-29969224e3fb,2050,225,
5a5e44dd-1b8f-4c26-ba16-65593a8b59eb,2166,302,ac:a3:1e:e2:6b:f1
5a6686fd-5017-4c17-9dd4-4081d5448b7d,594,105,
5d02f383-d24c-4902-b728-1380c99105ee,485596,10148,a4:5d:36:9d:33:49
626aaffc-c174-48ca-a179-cab025b9bc98,1823,203,ac:a3:1e:d2:55:70
649357ac-11ab-4fc7-acd2-816a3844d81b,443208,10653,ac:a3:1e:f3:13:91
64e25c38-ee68-4e06-8990-09ba71759cf1,555626,7305,84:d4:7e:ff:6b:90
65e91776-4319-4b41-ae66-28db6473fc60,1978,214,70:3a:0e:18:8b:53
65f4b507-b48a-416d-ac1f-2678e3f954d8,1937,219,24:de:c6:f1:17:d1
66368d24-f87e-4db0-ab9d-c450c33becf3,2034,234,
66b66952-ae50-46c4-8f79-1d2117ac6691,475172,18499,84:d4:7e:6d:80:b3
687020d4-2b4c-483d-9124-ca34195f8af7,1548,233,24:de:c6:f0:e1:f1
699a92cf-42b7-4a29-bd1b-edf43d06dd54,1094683,18050,9c:1c:12:e0:e1:d1
69d0a3bb-40c8-42a8-838d-1bb275f28d1b,1961,283,
6afbdb8a-a1cf-4248-852a-24e56ee5766a,2190,301,
6d73aa4b-1be4-426b-8d6b-c811bd2170fa,242056,15605,9c:1c:12:bf:c8:f3
6e12238e-2105-4bd3-be42-9b2ce1bf4946,330162,6222,ac:a3:1e:d2:55:40
6e60c67a-9bb0-4818-9625-1afe9788fe6b,1554,226,ac:a3:1e:f2:ef:91
6fb4842f-8beb-4539-8b18-e21d89d3254e,1643,127,
7230d0d5-fab8-4462-9952-69aee6866b04,2250,333,9c:1c:12:bf:de:01
7398824b-a04d-4252-afe8-d0f392a5cd48,2033,326,
785e9e8e-4ab0-4686-a95e-a25c6c2e2eee,756406,15221,24:de:c6:f1:1d:42
79d3d50d-b736-43ba-8979-8ba6ff3d1e48,1408,98,
7afaa986-9de6-4efe-9057-3fa969b1760c,1348,128,
811f021c-0ecf-4264-967d-f02f93c3d711,1399,202,
81443789-41c5-4277-9bbb-55336120c0c9,2249,374,
848429d2-612d-4b1c-82ff-e51dc40d3d07,2025,376,
85396fa9-14d7-47d6-9688-1771e6c3fa75,2056,272,40:e3:d6:bf:cf:33
86f36925-3207-486e-9f7f-c229efaae9c0,57482,4438,00:1a:1e:8c:ee:31
87046549-2960-43b1-b1b9-358aac851b8a,1926,250,00:1a:1e:93:71:21
876f9317-9823-4ecb-9290-1b1cbd2ded3c,2332,211,00:1a:1e:30:df:71
88d687ca-537d-4592-8691-22feeb116122,2148,316,
8cf6b2a5-ca26-48cd-86e0-d3eca61d264b,778,20,
8e0a48eb-c371-4932-82ab-d9458c31b77c,1292,169,
924b4f99-c800-4f5f-9159-8b47a317ef34,1599,259,
94aac48e-7cbb-4a8c-b47a-052d28eefa5a,1924,206,70:3a:0e:18:8b:53
94c99ead-4f3e-4c68-8f51-08af25c64920,2271,191,70:3a:0e:18:88:d3
95940265-9599-4ab5-bccf-b7d64e75f3f6,2383,329,
9a035626-2e6c-4aa5-a6cb-e47403a39d00,2012,225,
9bb46002-6fdb-4287-bfd3-bc3e2e57785f,117271,8906,a0:ec:f9:b5:e9:dc
9d37754d-fb9f-46cf-a2a8-1232f3ad1071,2083,274,00:1a:1e:90:eb:11
9e7d28be-3a29-406b-b3e3-d2fd2414605c,2231,247,94:b4:0f:1c:9e:11
a2952ecb-5ee6-454a-81a6-16e908ee2e18,1847,313,
a36f9b21-57f2-46ef-bb33-a65e0c2b642c,1886,237,
a3aa60d3-8acb-4e7b-b324-ac85c6c074d2,534399,10852,ac:a3:1e:f3:06:81
a5ea9d2e-766c-4a6b-87b2-8bc4fe445a63,1763,210,
a8ba94f4-d3e6-452c-adf8-4d1e0984a6d1,2243,216,
a9836b94-4e9e-498f-aa65-0cd76d330641,1501,282,9c:1c:12:bf:e6:71
ad5083ca-82c9-435b-9776-03837a5aed8c,1869,173,00:1a:1e:8d:38:a1
ad6f1e0f-32ef-4b74-9c04-876609ba1e55,606,74,ac:a3:1e:ee:78:91
afeb5dcc-28b1-4088-9942-3e24bc05508d,74351,7468,24:de:c6:f1:18:60
b1ea5753-4aac-464c-996b-52c418e5782c,7918,1416,ac:a3:1e:f3:11:62
b24dc8d4-e952-4d4a-bbd8-0841ea7d87ee,2164,366,
b36df7c0-cf05-42de-9ed6-704c2f02e3da,486097,13137,ac:a3:1e:f2:d5:00
b771f307-fb8e-49e2-a533-2b4145073203,582490,8164,00:1a:1e:88:3b:92
b8484a00-842a-4aa3-a008-07dc9580bb3a,2100,279,
b9c40632-ca4b-4b45-8f61-99e146c671b6,1632,182,
bb3effb0-4439-4ace-b82e-0c779734431a,1802,174,
bedd078a-f665-46f2-bdc5-ab3535a4708e,189905,6839,00:1a:1e:8a:5e:61
c180cf15-e68a-4136-9b03-c33220dc5738,1960,242,
c24ab734-cf32-40d2-a0d5-25c363984387,1703,183,
c3371eb6-e365-456e-b90a-b3f7fdcdfc26,2686,701,70:3a:0e:18:89:f0
c7650b38-6fb9-4305-bf13-d4f8a40b4dbe,1460,278,00:65:a3:ca:cb:88
cb952516-48ff-4504-a9e6-080161ee7f8d,54450,7049,9c:1c:12:bf:e5:51
ccb6e01b-3dc3-4f63-b1dc-f028fce9463f,2046,214,
cd031b30-d6b4-479f-877f-7a8467135ea4,2350,235,84:d4:7e:f4:6d:b3
cd20f78a-3ab7-4bb5-b400-e4af17ddef1f,1704,147,70:3a:0e:18:8b:53
cf5aaf0c-8b7b-4781-9109-cd32e2b8588e,591904,18671,9c:1c:12:bf:d7:31
d0a1ab1f-7d61-4071-a0e5-21d31dcbf7d4,1883,250,
d1ac58f8-4334-4249-ad23-1746fed138b1,2056,285,
d1ff441d-a66a-45ab-b1b2-372042b29762,1959,197,
d26777b1-b3b5-4e7c-adf8-5a8264e2ddc6,2324,211,
d5aac654-91bb-4ae4-b8cf-5704421fd07e,2184,173,ac:a3:1e:d2:4f:10
d87719f9-6868-47bb-91d5-02acf9190f94,115,39,
db4bc043-4f67-418c-bd8a-e15543032389,1153773,23009,""""""
dba4459b-ef47-43cc-b721-364c0406f355,2166,267,00:1a:1e:93:2d:d1
dec05b58-d6d4-4478-b730-3fd040c4e52d,1335682,20231,b4:5d:50:e2:12:92
dfa65587-95f0-4384-9d81-64a15e78bf16,2202,340,
e1f9e6dd-d065-4590-b3da-8074a91dce27,2117,253,9c:1c:12:e2:2e:51
e261bc00-2e1f-4c98-8511-deedb1d77739,2246,385,
e288098a-788a-4d3b-8fa2-0cf863eebf75,2041,230,9c:1c:12:e0:c1:31
e322dd4d-798b-4536-af6f-fe3404a15fce,2175,194,94:b4:0f:1c:9e:11
e5847047-48e7-4aec-9ab2-e03a432ad442,1070,210,ac:a3:1e:f2:ef:91
e6ad33da-3083-4dad-85a6-b06dd345975b,178593,8400,ac:a3:1e:d2:5b:90
e9d0cdd9-b664-453d-9bcf-c5f560519dc9,2133,254,9c:1c:12:c6:45:91
eb8051d8-bc9c-47f9-b663-89583b35f37b,832,90,
ec54b478-47e0-444d-90a1-bfb45b416bee,1424,186,70:3a:0e:18:88:d3
ee099a8f-8baf-408e-bf0f-3cf1a3d51790,2178,254,
ee6eb822-8fdb-4821-b759-5dedcfadd2f2,1521,130,
f2eb226f-61b4-44b9-8e1d-4f6de1438a29,2030,132,24:de:c6:f1:17:10
f4f84e15-621a-4900-96f1-a8d058066570,264,89,
f5de7b18-5058-41c2-b957-da926c7dcba9,2000,343,
f7ea4330-8f1c-4042-b5ea-13726c70efb1,1645,216,
f92b4712-d45b-4aa6-bacc-fee783b55290,2377,326,
fc56152c-3430-4952-88cc-f52240fa3092,1065800,16175,ac:a3:1e:d2:1a:30
fd5999a3-6d93-4479-8a7a-91fb7f8f0270,1545,268,
fe880b1f-df9c-476f-a7b3-ac363000fee7,1776,287,
fe94368f-79f1-48b2-a40e-234130e09164,1143,191,
